# Log generated on 2025-05-24T14:58:36.966691
apidev.azure-api-center@1.1.2025052203.vsix: ^1.99.0 -> ^1.99.0
eamodio.gitlens@2025.5.2405.vsix: ^1.92.0 -> ^1.99.0
firsttris.vscode-jest-runner@0.4.82.vsix: ^1.83.0 -> ^1.99.0
github.codespaces@1.17.3.vsix: ^1.85.0 -> ^1.99.0
github.copilot-chat@0.28.2025052301.vsix: ^1.101.0-20250523 -> ^1.99.0
github.copilot-workspace@0.5.4.vsix: ^1.95.0 -> ^1.99.0
github.copilot@1.323.1582.vsix: ^1.98.0 -> ^1.99.0
github.remotehub@0.65.2024112101.vsix: ^1.78.0 -> ^1.99.0
github.vscode-pull-request-github@0.111.2025052204.vsix: ^1.100.0 -> ^1.99.0
google.geminicodeassist@2.33.0.vsix: ^1.82.0 -> ^1.99.0
googlecloudtools.cloudcode@2.30.0.vsix: ^1.82.0 -> ^1.99.0
ms-azure-load-testing.microsoft-testing@0.1.14.vsix: ^1.100.0 -> ^1.99.0
ms-azuretools.azure-dev@0.9.0.vsix: ^1.76.0 -> ^1.99.0
ms-azuretools.vscode-azure-github-copilot@1.0.8.vsix: ^1.99.0 -> ^1.99.0
ms-azuretools.vscode-azureappservice@0.26.1.vsix: ^1.95.0 -> ^1.99.0
ms-azuretools.vscode-azurecontainerapps@0.8.2.vsix: ^1.95.0 -> ^1.99.0
ms-azuretools.vscode-azurefunctions@1.17.3.vsix: ^1.95.0 -> ^1.99.0
ms-azuretools.vscode-azureresourcegroups@0.10.11.vsix: ^1.95.0 -> ^1.99.0
ms-azuretools.vscode-azurestaticwebapps@0.13.1.vsix: ^1.95.0 -> ^1.99.0
ms-azuretools.vscode-azurestorage@0.16.4.vsix: ^1.95.0 -> ^1.99.0
ms-azuretools.vscode-azurevirtualmachines@0.6.8.vsix: ^1.95.0 -> ^1.99.0
ms-azuretools.vscode-containers@2.0.1.vsix: ^1.95.0 -> ^1.99.0
ms-azuretools.vscode-cosmosdb@0.26.0.vsix: ^1.90.0 -> ^1.99.0
ms-ceintl.vscode-language-pack-es@1.101.2025052109.vsix: ^1.101.0 -> ^1.99.0
ms-ceintl.vscode-language-pack-zh-hans@1.101.2025052109.vsix: ^1.101.0 -> ^1.99.0
ms-dotnettools.blazorwasm-companion@1.1.4.vsix: ^1.69.0 -> ^1.99.0
ms-dotnettools.csdevkit@1.19.63.vsix: ^1.95.0 -> ^1.99.0
ms-dotnettools.csharp@2.79.8.vsix: ^1.93.0 -> ^1.99.0
ms-dotnettools.vscode-dotnet-runtime@2.3.4.vsix: ^1.99.0 -> ^1.99.0
ms-edgedevtools.vscode-edge-devtools@2.1.8.vsix: ^1.93.0 -> ^1.99.0
ms-kubernetes-tools.vscode-kubernetes-tools@1.3.23.vsix: ^1.98.0 -> ^1.99.0
ms-python.debugpy@2025.8.0.vsix: ^1.92.0 -> ^1.99.0
ms-python.python@2025.6.1.vsix: ^1.94.0-20240918 -> ^1.99.0
ms-python.vscode-pylance@2025.5.1.vsix: ^1.99.0 -> ^1.99.0
ms-vscode-remote.remote-containers@0.414.0.vsix: ^1.99.0 -> ^1.99.0
ms-vscode-remote.remote-ssh-edit@0.87.0.vsix: ^1.74.0 -> ^1.99.0
ms-vscode-remote.remote-ssh@0.121.2025050915.vsix: ^1.96.0 -> ^1.99.0
ms-vscode-remote.remote-wsl@0.99.0.vsix: ^1.99.0 -> ^1.99.0
ms-vscode-remote.vscode-remote-extensionpack@0.26.0.vsix: ^1.34.20 -> ^1.99.0
ms-vscode.anycode-c-sharp@0.0.8.vsix: ^1.67.0 -> ^1.99.0
ms-vscode.anycode-cpp@0.0.7.vsix: ^1.67.0 -> ^1.99.0
ms-vscode.anycode-go@0.0.8.vsix: ^1.67.0 -> ^1.99.0
ms-vscode.anycode-java@0.0.8.vsix: ^1.67.0 -> ^1.99.0
ms-vscode.anycode-kotlin@0.0.8.vsix: ^1.67.0 -> ^1.99.0
ms-vscode.anycode-php@0.0.8.vsix: ^1.67.0 -> ^1.99.0
ms-vscode.anycode-python@0.0.7.vsix: ^1.67.0 -> ^1.99.0
ms-vscode.anycode-rust@0.0.8.vsix: ^1.67.0 -> ^1.99.0
ms-vscode.anycode-typescript@0.0.7.vsix: ^1.67.0 -> ^1.99.0
ms-vscode.anycode@0.0.74.vsix: ^1.80.0 -> ^1.99.0
ms-vscode.azure-repos@0.41.2024112101.vsix: ^1.78.0 -> ^1.99.0
ms-vscode.remote-explorer@0.6.2025051209.vsix: ^1.87.0 -> ^1.99.0
ms-vscode.remote-repositories@0.43.2024112101.vsix: ^1.78.0 -> ^1.99.0
ms-vscode.remote-server@1.6.2025041509.vsix: ^1.87.0 -> ^1.99.0
ms-vscode.vscode-node-azure-pack@1.6.0.vsix: ^1.92.0 -> ^1.99.0
ms-vscode.vscode-speech@0.15.2025052212.vsix: ^1.90.0 -> ^1.99.0
quantum.qsharp-lang-vscode@1.16.0.vsix: ^1.77.0 -> ^1.99.0
redhat.vscode-xml@0.29.0.vsix: ^1.67.0 -> ^1.99.0
redhat.vscode-yaml@1.18.0.vsix: ^1.63.0 -> ^1.99.0
teamsdevapp.vscode-ai-foundry@0.5.1.vsix: ^1.95.0 -> ^1.99.0
toba.vsfire@1.4.1.vsix: ^1.11.0 -> ^1.99.0
vscjava.migrate-java-to-azure@0.3.2025052301.vsix: ^1.96.0 -> ^1.99.0
vscjava.vscode-app-mod-pack@0.2.1.vsix: ^1.99.0 -> ^1.99.0
vscjava.vscode-java-upgrade@0.14.0.vsix: ^1.99.0 -> ^1.99.0
